"Texto de comentario","Satisfaccion general","fecha y hora",""
"Todo funciona muy eficientemente pero no es una estación localizada en mi zona de uso diario. Estaba por esa zona casualmente","5","21/06/2023 10:05:00",""
"Rápida. Amable.","5","20/06/2023 15:57:00",""
"Quise pagar con la aplicación y no pude en ningún momento","1","20/06/2023 16:36:00",""
"Por la atención y el comustible muy buena la atencion
","5","19/06/2023 13:02:00",""
"Caidad humana el los operadores , cercanía de los puntos de servicio y productos ","5","18/06/2023 9:47:00",""
"La atención fue rápida y el empleado muy amable había poca gente así que fue buena experiencia ","5","19/06/2023 16:08:00",""
"voy a esa estacion , como a la de mitre y melo hace muchos años. me siento muy comodo en ambas","5","19/06/2023 19:53:00",""
"Solo vine por un café con leche , me explicaron bien como usar la app,y el sistema de canje de puntos. El lugar estaba limpio, iluminado , climatizado y buena coneccion wifi :) El café con leche, rico y caliente, todo bien, saludos :)","5","20/06/2023 8:00:00",""
"me atendieron rapido y amablemente","4","18/06/2023 13:04:00",""
"En general siempre está buenísimo ","5","19/06/2023 11:19:00",""
"Excelente la atención de merly y norma ","5","19/06/2023 7:32:00",""
"El personal siempre es muy atento y amable.","5","18/06/2023 17:09:00",""
"La calidad del combustible y los servicios, en particular carga de aire.","5","18/06/2023 15:17:00",""
"Por la atención de Oscar ","5","13/06/2023 14:26:00",""
"Acceso muy complicado por todas las calles cercanas. Poco espacio de maniobra.","4","17/06/2023 19:52:00",""
"Atencion amable ","4","17/06/2023 14:42:00",""
"Atención del personal ofreciendo  lavado de vidrios, Agua y o Aceite . Muchas  opciones de estaciones de cargas  y cómodas .  Fácil pago con aplicación . Buena iluminación . ","5","15/06/2023 18:53:00",""
"Porque siempre atienden a desgano. Ayer justo estaban buena onda. La App nunca me funcionó. Pierdo mucho tiempo en cargar nafta.","4","15/06/2023 19:15:00",""
"Excelente atención de Merly y Norma!! Felicitaciones!!","5","17/06/2023 9:36:00",""
"La chica que le atendió divina,cuando le cargo los pumtos me sorprendió la memoria para.rexordsr el.DNI","5","16/06/2023 21:55:00",""
"Amable
Rapido
Servicio muy bueno","5","15/06/2023 19:50:00",""
"Muy cordial el personal que me atendio","5","16/06/2023 15:40:00",""
"Me cambiaron 3 veces de surtidor porque no tenian V Power( con lo dificil que es maniobrar)
Los playeros mucha atencion no nos dieron
Se habia hecho un nudo con lo de los surtidores y nadie ordenaba","2","16/06/2023 14:20:00",""
"Rapidez, buena atención ","5","15/06/2023 14:18:00",""
"Atención excelente 
Instalaciones impecables 
Fácil acceso y egreso ","5","15/06/2023 15:27:00",""
"Dificultad en llegar a la Estacion. ","4","15/06/2023 10:52:00",""
"Fui rapidamente atendida. El personal de la estacion de servicio se demoro el tiempo minimo indispensable. Esta ubicado muy cerca de mi casa y tiene buen precio del combustble. ","5","14/06/2023 14:51:00",""
"Calidad de combustibles, atención del personal, instalaciones, productos de la tienda.","5","14/06/2023 21:11:00",""
"No se me ofreció una atención de controles adicionales.

No me limpiaron los vidrios.

Do la sensación que necesitaba que finalice lo antes posible con mi carga de combustible. ","4","14/06/2023 21:56:00",""
"La cordialidad del personal es superlativa. Para muy satisfecho son ajustes menores.","4","14/06/2023 14:57:00",""
"Muy buena la estación de servicio, la atención tanto de los playeros como en el shop","4","15/06/2023 7:50:00",""
"La aplicación es engorrosa","1","15/06/2023 6:50:00",""
"Es ""mí "" estación de servicio desde hace muchos años ","5","14/06/2023 21:12:00",""
"Normalmente la falta de atención es en el personal de la mañana; no así en otros turnos.-","1","14/06/2023 9:08:00",""
"Porque fui muy bien atendida y rápidamente .","5","14/06/2023 18:07:00",""
"Baño sucio
Circulacion.
Entrada","4","14/06/2023 15:30:00",""
"Coordialidad
Rapidez en la atencion
Muy buen servicio","5","14/06/2023 15:23:00",""
"Excelente atencion y muy buen estado de las instalaciones","5","14/06/2023 13:35:00",""
"Genios los chicos que atienden! Norma siempre disponible y muy atenta!","5","14/06/2023 8:52:00",""
"Por lo ágil, aunque esto depende del horario y cantidad de asistentes.
Atención adecuada a pesar que el playero sigue ofreciendo controlar agua y aceite cuando ello es imposible cuando un vehículo viene funcionando.","5","14/06/2023 11:09:00",""
" Concurro habitualmente a ésta estación:
Por la atención.
Rapidez.
Eficiencia
","5","14/06/2023 10:31:00",""
"lo mejor es la atencion del personal. felicitaciones a Norma Merly Juan Maxi Silvia","5","14/06/2023 9:23:00",""
"Porque todo funcionó de 10","5","14/06/2023 6:21:00",""
"Muy buen servicio y calidad","5","13/06/2023 21:11:00",""
"Excelentes productos y atención ","5","13/06/2023 12:32:00",""
"Hace muchos años vengo .
Siempre con una excelente atención.
El ámbito es un muy bien lugar para comenzar el día .","5","13/06/2023 9:29:00",""
"La atención del personal es un lujo en esta estación.","5","13/06/2023 7:51:00",""
"buena atencion
rapidez cordialidad","5","12/06/2023 15:30:00",""
"Es buena la atención y rápida. 
Solo que tiene mucha escalera para el baño","5","12/06/2023 12:03:00",""
"Siempre amables. Con una sonrisa. Muy profesionales","5","12/06/2023 8:32:00",""
"Muy buena atención del colaborador!
Fui a la estación de Cramer y Jose Hernandez ","5","10/06/2023 19:56:00",""
"Atención ","5","10/06/2023 13:14:00",""
"Excelente atención del playero, muy atento en todo momento. ","5","12/06/2023 0:18:00",""
"El lugar impecable y el trato dispensado de lo mejor","5","08/06/2023 17:05:00",""
"Compré un litro de Helix Ultra 5W40 y cuando llego a mi garage, descubro que el sello protector estaba semiabierto y había derramado aceite sobre el envase.","2","10/06/2023 17:14:00",""
"los servicio de baño son incomodo su aseso para utilizarlos.  ","5","10/06/2023 11:08:00",""
"Cálidas de los productos.Atencion por parte del personal.Estado de operatividad de las instalaciones 
","5","10/06/2023 11:01:00",""
"Excelente atención del shop. Norma Merly felicitaciones. Juan excelente playero. Felicitaciones ","5","09/06/2023 9:43:00",""
"Facilidad de acceso a la estación y rapidez en el servicio","5","07/06/2023 8:03:00",""
"Excelente atención de norma","5","09/06/2023 7:41:00",""
"Rápida atención 
Educación del empleado
Calidad del combustible ","5","08/06/2023 21:51:00",""
"La atención del empleado fue maravillosa. ","5","08/06/2023 19:14:00",""
"Muy buena atención de los empkeagos de la playa. Y la app que la use","5","07/06/2023 14:31:00",""
"Limpieza del lugar 
Por la atención amable del playero 
Descuento con v power
","4","07/06/2023 16:57:00",""
"No controlan presion de gomas.
Si me están atendiendo lo deben hacer.

Soy una Sra.de 76 años y siempre fui clienta de esta estación","4","08/06/2023 14:22:00",""
"Por el servicio en todo sentido ","5","05/06/2023 23:07:00",""
"Excelente!","5","08/06/2023 7:23:00",""
"Porque me atendieron bien y rápido.","5","08/06/2023 8:50:00",""
"la encuesta es buena pero la selección del puntaje esta al revés el 10 a la izquierda y el 0 a la derecha.
Está exactamente al revés de la lógica del  pensamiento de la gente y lleva a confusión en la elección del puntaje.
gracias","1","29/05/2023 13:30:00",""
"Atención profesional
Disposición al servicio
Instalaciones de muy buen nivel","5","08/06/2023 7:18:00",""
"la atencion del personal es muy buena","5","07/06/2023 14:51:00",""
"La cordialidad del empleado. El tiempo q se tardó. Todo impecable","5","06/06/2023 9:58:00",""
"Agil Sencillo practico","5","07/06/2023 18:34:00",""
"Orden, limpieza, facil acceso, prrcios accesibles","5","07/06/2023 13:12:00",""
"Los precios de la parte del drugstore y gastronómico son caros y tardan mucho en atender
No ayudan a inflar las cubiertas
","4","07/06/2023 7:53:00",""
"Mala y lenta atención
Limpieza de vidrios mala
No respetaron ml turno de atencion","2","05/06/2023 12:30:00",""
"Muy amables en la atención y en el servicio","5","07/06/2023 7:47:00",""
"Exigente 199%
Demora en prestación de servicio","4","06/06/2023 20:38:00",""
"Nada en particular","4","06/06/2023 19:17:00",""
"Excelente servicio, Marisol fue muy atenta","5","06/06/2023 9:00:00",""
"Porque fue una atención rápida, eficaz y correcta.","5","05/06/2023 20:21:00",""
"Todo salió bien","5","05/06/2023 16:37:00",""
"Ya se los he dicho en otra oportunidad. No entiendo el nuevo programa de shell box y cuando intenté utilizar la aplicación me pide más datos personales que en un banco. Inaceptable para mí","4","05/06/2023 15:05:00",""
"Me brindaron lo que necesitaba. ","5","05/06/2023 14:24:47",""
"Es muy caro sumar puntos y muy difícil para canjear. No vale la pena sumar los puntos para cambiarlo por un descuento de 200 pesos. Comparen con competencia y lo que uds mismo ofrecían antes. No hay un diferencial positivo, gracias ","3","05/06/2023 8:52:00",""
"Shell no simplifica la vida de sus usuarios al hacerles usar una aplicación que usa tres idiomas... Para variar a la Empresa la salvan sus empleados. ","2","05/06/2023 10:09:00",""
"No tengo nada que decir en contra de la atención.","4","05/06/2023 9:46:00",""
"Me queda en el camino para el trabajo.  El trato del personal es excelente. ","5","05/06/2023 6:42:00",""
"rapidez para atender, cordialidad del personal, actitud para ofrecer servicios adicionales, control de liquidos del vehiculo ( agua y aceite ) más limpieza del parabrisas. Lo que uno espera cuando llega a una estación de servicio. ","5","30/05/2023 18:18:00",""
"no me parece muy atractivo el sistema de puntos","4","02/06/2023 19:27:00",""
"por la buena onda del encargado de cargarme combustible, lo único malo es que el aire no te estaba cargando, pero casi siempre funciona bien","5","01/06/2023 22:01:00",""
"Recibi un trato correcto, soy cliente y vivo en la zona.","4","01/06/2023 15:43:00",""
"La atención fue muy buena, rápida y amable. ","5","01/06/2023 19:26:00",""
"Marisol siempre me atiende muy cordialmente y con una sonrisa, muy buen trato","5","01/06/2023 12:10:00",""
"Porque me atienden muy amablemente. Hacen correctamente su trabajo. Me han brindado ayuda con el funcionamiento de la aplicación. Incluso me han ayudado cuando el problema era de mi celular. Y se han ofrecido a ayudarme cuando necesité completar el inflado de neumáticos ","5","31/05/2023 21:07:00",""
"Siempre hay diferencia de precio mayor con la competencia 
","4","01/06/2023 7:53:00",""
"El programa tendría que  tener descuentos en litros de combustible y no en pesos, debido a la elevada inflación.","4","30/05/2023 14:56:00",""
"Muy buena atención.
El personal muy amable.
Mucho orden y limpieza en todos los sectores.
Muy satisfecho.","5","31/05/2023 22:13:00",""
"Lo hicieron bien y en buen tiempo","5","31/05/2023 21:28:00",""
"Tardaron mucho en atender y cuando era mi turno llegaron motos policiales y los atendieron de una haciendo la espera eterna","1","31/05/2023 21:45:00",""
"Atención. 
Calidad de los Productos. 
Rapidez en el servicio. ","5","31/05/2023 21:18:00",""
"Es una de las estaciones que utilizo cuando estoy en CABA.

","5","31/05/2023 17:14:00",""
"Rápido servicio y atención muy eficiente para la carga de combustible y ayuda en el uso de la app","5","31/05/2023 17:43:00",""
"Todo impecable. En la anterior carga el miércoles de la semana anterior no pude usar el descuento porque el sistema de Uds. en esa estación de servicio no funcionaba,.","5","31/05/2023 13:10:00",""
"Siempre cargo ahí por la atención del personal y la confiabilidad del combustible","5","31/05/2023 11:47:00",""
"Cordialidad del personal y tiempo transcurrido durante la carga muy bueno, poco tiempo","5","31/05/2023 8:20:00",""
"Todo bien , satisfecho , lo único se generó congestión se autos y m costo salir de la estación. ","4","31/05/2023 8:08:00",""
"Mi café de todas las mañanas muy rico
Muy buena la atención de norma ","5","30/05/2023 6:55:00",""
"Buen ambiente para almorzar, gracias norma por la paciencia ","5","30/05/2023 12:05:00",""
"Excelente siempre la atención de norma, gracias ","5","30/05/2023 8:17:00",""
"Muy buena atención ","5","30/05/2023 11:45:00",""
"No cargarha en otro lugar son muy amables y educados todos .","5","28/05/2023 21:28:00",""
"Siempre hay buena atención, rapidez y el mejor combustible.","5","29/05/2023 19:15:00",""
"Destaco la amabilidad de los empleados, en especial de Marisol que me atendió con mucha paciencia ","5","29/05/2023 20:00:00",""
"La adecuada atención y servicio prestado","5","27/05/2023 16:36:00",""
"Rapidez, Amabilidad y simplicidad ","5","28/05/2023 15:00:00",""
"Me atendieron muy expeditivamente , me gusto","5","28/05/2023 12:15:00",""
"Rapidez eficacia y amabilidad ","5","28/05/2023 10:32:00",""
"Lugar impecable, empleados suficientes, corto el tiempo de espera, cómoda la aplicación ","5","23/05/2023 8:07:00",""
"Cordialidad
Velocidad","5","27/05/2023 20:17:00",""
"El muchacho que me atendió fue muy amable y atento, y se preocupó por lo que yo necesitaba.","5","27/05/2023 16:45:00",""
"Eficiencia, amabilidad y velocidad","5","27/05/2023 16:58:00",""
"Soy cliente de la misma estación de servicio, hace más de 16 años, y siempre fui muy bien atendido. En todos los servicios que prestan.","5","24/05/2023 14:06:00",""
"Y otras estaciones muy buenas en Mar del plata en la ruta y la de calle Cabildo ","4","26/05/2023 12:53:00",""
"El empleado fue muy educado y atento, agregó líquido refrigerante, antes me dijo el precio.👏👏","5","26/05/2023 14:05:00",""
"Merly hace el mejor café que he probado","5","25/05/2023 17:00:00",""
"Muy buena atención de parte de Marisol ","5","25/05/2023 23:09:00",""
"Cordialdad y buen servicio","5","24/05/2023 17:42:00",""
"Muy buena atención de Marisol. Muy atenta y cordial!","5","25/05/2023 20:00:00",""
"La estacion de servicio es limpia y atienden muy bien. 
A veces hay mucha demora. Faltarian mas playeros","5","25/05/2023 18:17:00",""
"Tres surtidores sin V Power nafta. Maniobra dificultosa dentro de la estación. Los tickets se imprimen muy tenues. Los autos en la manguera de aire obstaculizan el acceso.","2","24/05/2023 17:35:00",""
"Demoro la carga una vez que scanee para pagar.","4","24/05/2023 21:50:00",""
"Incomodo ingreso a la estacion.
Y la aplicacion de Shell Box deberia aplicar automaticamente el descuento los dias miercoles, a mi criterio. 
Y muchas veces me pide volver a escanear el codigo qr la app al momento de pagar, lo que es tedioso tanto para el cliente como para el personal.","4","24/05/2023 20:25:00",""
"Solo hice uso de carga de combustible, sencillo y rápido. 
El empleado estuvo atento, cordial y servicial, me ofreció limpieza de cristales y los controles de aceite y agua. 
Es por eso que estoy satisfecho, el servicio fue correcto ","4","24/05/2023 18:41:00",""
"Hace años soy Cliente de ésta estación.
Siempre recibo un trato cordial y eficiente.
elijo productos Shell para mis autos.","5","24/05/2023 13:57:00",""
"Fui atendido con celeridad y mucha amabilidad se me consulto si necesitaba rever el agua y/o el aceite muy correctamente ","5","24/05/2023 13:04:00",""
"Muy buen trato del pnal","5","24/05/2023 15:17:00",""
"El trato de los empleados es muy bueno y me queda cereca de casa.","5","24/05/2023 12:11:00",""
"Bastante rápida la atención y correcta ","5","23/05/2023 20:21:00",""
"Todo correcto ","5","23/05/2023 10:13:00",""
"Divina la persona que me atendio","5","20/05/2023 1:29:00",""
"Merly me atendió, la mejor","5","21/05/2023 8:08:00",""
"Se que es domingo a la noche, pero por eso voy, sino siempre hay que perder mucho tiempo. No tienen la disponibilidad de ofrecer limpieza de los parabrizas, revision de los liquidos del auto. NI me anime a poner aire en los neumaticos. NO esta señalizados correctamente.","4","21/05/2023 20:55:00",""
"Todo perfecto sin comentarios para agregar ","5","21/05/2023 13:30:00",""
"Por los servicios y la buena calidad ","5","21/05/2023 7:38:00",""
"Los baños mejoro bastante.podrian estar mejor.ahora hay papel, jabón.","4","20/05/2023 13:19:00",""
"Muy buena atención, valoro la calidad del combustible y que pueda cargar aire sin costo y rápido ","5","20/05/2023 14:25:00",""
"Excelente servicio en todo sentido","5","20/05/2023 11:55:00",""
"Cargué en la estación DEHESA - Nº 10038517. No logro comprender por qué cobran el litro de nafta más caro que otras estaciones de servicio SHELL. Me gustaria me informen","5","20/05/2023 11:18:00",""
"Todo perfecto","5","20/05/2023 10:34:00",""
"Muy satisfecho con la amabilidad
 pero tardaron mucho en atenderme
Nada mas
Nada mas
Nada mas

","5","19/05/2023 22:42:00",""
"Calidad. Amabilidad","5","19/05/2023 11:03:00",""
"Buena atención , personal correcto poco tiempo de espera ","5","19/05/2023 13:57:00",""
"Speed
Kindness
Location","5","19/05/2023 15:02:00",""
"Wbibeivevieibebieibebieibeibbieno
Beibeibebieboe
Bwb","4","17/05/2023 5:27:00",""
"Atención rápida, atenta, cordial. Buen servicio. Indique que tengo conflictos para loguearme en la app y ofrecieron alternativas de contacto para resolverlo.","5","17/05/2023 10:26:00",""
"Rápido, amable.","5","18/05/2023 0:25:00",""
"Ya es la tercera vez que no anda la aplicacion, con lo cual me pierdo los descuentos, ahora voy a hacer el reclamo via email, ojala que me reintegren los $ 750 que me perdi!","3","18/05/2023 9:19:00",""
"En el momento que fui había una sola persona para todos los surtidores ","3","18/05/2023 9:11:00",""
"Tardaron en atender y luego mas en volver cuando ya habia culminado la carga. Todo fue lento.","3","17/05/2023 15:15:00",""
"Buena predisposición del empleado, buen trato recibido. Me ofrecio limpiar los parabrisas.
Comento que fui el 11/05 y no el 10/05 porque me llego a mi email un descuento por tener tarjeta jumbo y al efectuar el pago por la app no aparecio el descuento por lo tanto tuve que abonar el total sin descuento. ese dia cargue wpovwer nafta por 10732, 53.. a mi esposa el mismo dia en Pilar le paso lo mismo,","5","17/05/2023 21:38:00",""
"El personal es eficiente y muy atento

","5","17/05/2023 18:51:00",""
"Muy buena atención en general, muy amable el personal, siempre uso está estación de servicio y lo seguiré haciendo","5","17/05/2023 19:37:00",""
"Atención rapida","5","17/05/2023 17:27:00",""
"ágil eficiente y rápido ","5","17/05/2023 8:22:00",""
"Trato del personal de la isla, diligencia en atención","5","17/05/2023 7:53:00",""
"Siempre lleno el tanque en la misma estacion!!!
El servicio que recibo es un 11
Eficaz y veloz!!!","5","16/05/2023 19:16:00",""
"LA AIENCION","5","16/05/2023 15:44:00",""
"Muy satisfecho ","5","15/05/2023 16:55:00",""
"Los precios de los combustibles son mas alto que en otras Shell y las mas altas de la zona respecto a la competencia","4","13/05/2023 17:26:00",""
"El playero corría de auto en auto para satisfacer a todos y con una sonrisa.","5","15/05/2023 13:35:00",""
"Concurro a Estaciones Shell desde hace muchos años y me ayienden muy bien.","5","15/05/2023 9:41:00",""
"Muy atento el playero
Corto tiempo de espera
Todo bien
","5","14/05/2023 15:37:00",""
"Fueron serviciales","4","14/05/2023 9:29:00",""
"la atencion del personal ","5","13/05/2023 18:46:00",""
"Muy buena atención, ágil y cordial","5","13/05/2023 11:39:00",""
"super and fast","5","12/05/2023 17:00:00",""
"La atencion es muy buena. El servicio es agil y cordial. Estoy conforme con la atencion de los playeros que tienen años en el trabajo.","5","13/05/2023 8:49:00",""
"Merly hace el mejor cafe que me he tomado","5","12/05/2023 6:30:00",""
"Atencion rapida.
Muy buena predisposicion del personal.
Comodidad de la ubicacion de la estacion

","5","12/05/2023 19:00:00",""
"Recientemente cambié de trabajo y ahora frecuento la zona, pasé a la mañana y me atendió en esta ocasión el playero Román... es destacable la atención y el respeto de este chico, ya que últimamente no se ve en lugares de servicio, o por lo menos en lo personal aprecio cuando te atienden como se debe, notable. La estación siempre que fui está limpia, y muy buena atención.","5","12/05/2023 7:50:00",""
"Merly me atendio, capa total","5","12/05/2023 9:05:00",""
"Merly me ofreció un servicio más que satisfactorio.","5","12/05/2023 10:00:00",""
"Merly me preparo el mejor café que probé, súper amable","5","12/05/2023 11:00:00",""
"El chico llamado Román fue muy amable y gentil en su atención ","5","12/05/2023 10:35:00",""
"Very fast
Very clean
Variety of products","5","11/05/2023 17:30:00",""
"Me atendio el playero de nombre Rodrigo Gimenez, excelente servicio y muy amable a la hora de recomendarme productos, recomiendo esta estación de servicio","5","10/05/2023 16:00:00",""
"Vivo cerca de la estación, pero cargo la nafta en cualquier lugar cuando lo necesito. Ahora voy a cargar mas seguido en  este lugar. ","5","12/05/2023 16:25:00",""
"Todo perfecto","5","12/05/2023 19:15:00",""
"Para destacar la velocidad en atención y cobro!","4","12/05/2023 16:43:00",""
"Recibí una atención excelente ","5","12/05/2023 17:22:00",""
"Muy amables , muy prolijos y muy correctos en relacion de precio y calidad","5","12/05/2023 17:05:00",""
"Muy buena atención. Cercanía a mi hogar","5","12/05/2023 16:48:00",""
"Fui atendida por Leo y fue muy amable y servicial ","5","12/05/2023 15:52:00",""
"Muy bueno el atendimiento por parte de Leonel","5","12/05/2023 14:30:00",""
"Siempre cargo en esa estación, Siempre muy bien ","5","12/05/2023 13:57:00",""
"Me atendió GABRIEL un genio ! Muy buena atención ! ","5","12/05/2023 14:15:00",""
"Fui a hacer una comprar rápida a la tienda y Rodrigo que fue el chico que me atendió, lo hizo de manera respetuosa y rápida ","5","12/05/2023 13:00:00",""
"Soy fiel a Shell por calidad de producto
Los chic@s que atienden siempre atentos y sonrientes en todas las Shell. No cargo otra marca salvo que no haya cerca como cuándo viajo por el pais","5","12/05/2023 0:11:00",""
"Todo muy rápido y eficaz","5","10/05/2023 18:23:00",""
"porque no había lugar suficiente en la estación de servicio.","4","11/05/2023 13:52:00",""
"Atención personalizada de Mauro.","5","11/05/2023 18:51:00",""
"Resulto facil el canje de puntos y descontar el importe del total de la factura.","5","11/05/2023 12:58:00",""
"Esperé al miércoles para cargar V-Power. Abrí mi celular y una pantalla de Uds. decía ""lo siento, etc . es decir, no se por qué no funcionaba el sistem,a de Uds. Un empleado miró mi pantalla y dijo que me iba a hacer igual el descuento, pero terminó descontándome un 7% Todo muy anormal.
Me imagino que no fue mi celular el único que registró ese mensaje de Uds. JUSTO UN MIÉRCOLES....!!!","1","10/05/2023 18:17:00",""
"Excelente atención de Mauro","5","11/05/2023 14:50:00",""
"excelente atencion del personal para cargar nafta","5","10/05/2023 21:26:00",""
"Muy buen trato y buena predisposición ","5","11/05/2023 9:25:00",""
"Demora en la carga del combustible ","2","10/05/2023 19:40:00",""
"Surtidor sin V Power nafta. Salir y dar la vuelta para ir a surtidor con V Power. La playera me advierte que no funcionaba la aplicación. Me cobra el supervisor y ¡Oh, milagro! La app funcionaba. ¿Explicación? Misterio...","3","10/05/2023 14:28:00",""
"Nadie es perfecto","4","06/05/2023 22:57:00",""
"todo ok. 
solo se tildó la aplicación y debí recomenzar el pago","5","10/05/2023 16:51:00",""
"La atención es muy buena, al igual que las instalaciones. El problema fue que no se pudo pagar con la aplicación Shell Box debido a que no funcionaba el código QR. 
El resto todo perfecto","4","10/05/2023 14:11:00",""
"1- desde hace muchos años siempre cargo en Shella
2- La atención de la Estación de esa sucursal es excelente
3-además nunca tengo que esperar mucho tiempo","5","10/05/2023 11:58:00",""
"Todo muy bien","5","10/05/2023 12:49:00",""
"por la excelente atención  de Norma en el turno de la mañana, como merry, también marisol a la tarde, muy satisfecho con el personal.","5","10/05/2023 12:29:00",""
"Merly y norma genias totales","5","10/05/2023 11:36:00",""
"Siempre recibo buen servicio","5","10/05/2023 6:58:00",""
"La señora que siempre nos atiende es muy amable! ","5","10/05/2023 7:27:00",""
"La aplicación nunca funciona los días del descuento, es una estafa. Siempre lo mismo, ""Shell no responde""....","1","10/05/2023 5:28:00",""
"Expeditivos, practico y fácil, más el horario nocturno ayudó que no haya nadie. ","5","09/05/2023 21:57:00",""
"Amabilidad. Eficiencia. Calidad","5","08/05/2023 19:08:00",""
"Muy buena atención
Se ofrecen a atender tu vehículo (limpieza  de vidrios , chequeo de niveles , cambio de escobillas , etc)","5","09/05/2023 17:31:00",""
"La atención que tubo la persona que me atendió, siempre me aclara las dudas que tengo, y ofreciéndose en lo que observe mis necesidades.   ","5","03/05/2023 21:01:00",""
"Exelente todo","5","09/05/2023 14:34:00",""
"No funciona el cambio de aceite y engrase hasta las 10:00 de la mañana","1","09/05/2023 9:00:00",""
"1. Calidad de los productos
2. Atencion
3. La practicidad de la App","5","07/05/2023 10:38:00",""
"Muy buena atencion
Predisposicion de los empleados
","5","06/05/2023 11:21:00",""
"Atención ","5","06/05/2023 13:18:00",""
"Me gusta mucho la tienda Shell ","5","07/05/2023 17:06:00",""
"Sigo esperando que me solucionen el tema de la APP, vengo ya perdiendo muchos descuentos al cargar, ya recibí mail, envié datos correspondientes y sin respuesta aún. Dejo mi mail pablobinder@gmail.com o celular 1137728125","5","05/05/2023 23:10:00",""
"El ingreso al surtidor es incomodo.
No me funciona la aplicación shell box.
El baño estaba muy sucio.
El playero tardo en atenderme y no había nadie para cargar","1","07/05/2023 18:30:00",""
"Atendido en tiempo y forma","5","07/05/2023 18:36:00",""
"La calidad de los combustibles, la atención del personal. Recomendable. ","4","07/05/2023 3:52:00",""
"Atencion muy buena respetuoso","5","06/05/2023 19:53:00",""
"El tiempo entre que entre y salí fue mínimo.
La amabilidad del muchacho que me atendió excelente.
","5","06/05/2023 18:16:00",""
"Muy buena la atención","5","06/05/2023 21:43:00",""
"Por la calidad de sus productos.","5","05/05/2023 15:17:00",""
"La atencion los proctos y la tienda","5","05/05/2023 13:06:00",""
"Excelente la atención.","5","04/05/2023 14:32:00",""
"La persona que me atendió fue impecable...! Atenta, servicial y educada. Hizo su trabajo muy bien y rápidamente. Me limpió el parabrisas y la luneta trasera de manera perfecta, siempre con una sonrisa genuuina...! Muy satisfecho con este empleado...!
","5","04/05/2023 22:04:00",""
"Atención rápida y muy cordial de los playeros. Poca demora y fácil acceso ","5","04/05/2023 23:17:00",""
"Por la atención, la rapidez, y la cordialidad","5","04/05/2023 19:41:00",""
"Hace muchos años que soy cliente. 
Siempre me atienden muy bien. 
Es una estación que siempre está limpia. 
Los empleados son serviciales y miran el motor los vidrios y lo que necesite. ","5","04/05/2023 13:00:00",""
"Le pedí al chico q me cargo nafta que lo llene con vpower. Como hago siempre que cargo.  Ya di salí de la estación me di cuenta que me lleno 1/2 tanque nada más. Además el equipo de aire funcionaba mal. Me desinflo las ruedas y después me costó mucho volver a inflarlas. Quise pedir ayuda a los empleados pero nadie me ayudo. Una chica de lejos me grito q debería sostenerlo para que funcione bien. ","2","04/05/2023 9:54:00",""
"Por la atención ","5","04/05/2023 11:18:00",""
"Muy buena atención del personal. Poca espera para la carga. fácil acceso a la estación de servicios.","4","03/05/2023 15:55:00",""
"que el playero té pregunte al llegar si cargas Premium me parece una forma por lo menos engañosa de tratar de vender algo si no se me enchufas algo que no necesito ya arrancan mal como empresa poco confiable","2","03/05/2023 20:32:00",""
"Muy atentos y expeditivo los empleados.la fila para cargar es evidente porque todos queremos aprovechar el descuento, recalco los empleados trabajan en equipo y son una maravilla! atentos a todo, tambien con el orden y la limpieza.Reconocerle a la dotacion del 3/5 a la hora estimada 17:30","5","03/05/2023 17:41:00",""
"La persona que me atendió no fue cordial ni amable ","2","03/05/2023 21:57:00",""
"Son muy amables y cordiales saben trabajar son rápidos y muy atentos ","5","03/05/2023 21:08:00",""
"Por comodidad. Cercania a mi domicilio.Ovbio la calidad del combustible.","5","03/05/2023 14:39:00",""
"La atención del personal y facilidad de pago con la app","5","03/05/2023 8:10:00",""
"Es la tercera vez que el programa Shell box me absorbe los puntos y no descuenta eses importe.
Hoy 3/5 /23 es la tercera vez. Y no soy el único .
Deben revisarlo.
Me interesa q me devuelvan los puntos que suman 1500 pros.  Y no es por la cantidades sino porque no se cumple lo que se propone y eso es fraude.
Gracias","2","03/05/2023 16:11:00",""
"Es un desastre ","2","03/05/2023 15:26:00",""
"Los playeros son siempe muy amables!!!!","5","03/05/2023 11:06:00",""
"Con la estación y el personal estuvo todo perfecto.
El problema es con la app q no puede pagar porque se colgaba y tuve que pagar con tarjeta perdiendo el beneficio del descuento x ser miércoles ","4","03/05/2023 8:57:00",""
"excelente atención del playero siendo un 1 de mayo. la app es rapidisima y muy facil de usar. fue muy rápido todo. genial","5","01/05/2023 21:08:00",""
"Rapidez en mi atención ","5","02/05/2023 8:16:00",""
"Porque no tuve inconvenientes.","5","30/04/2023 11:48:00",""
"Muy buena atencion","5","01/05/2023 13:20:00",""
"Rapidez atención
Respeto y amabilidad del personal
Limpieza instalaciones 
","5","29/04/2023 10:06:00",""
"Me sentí muy acompañado y guiado por una jovencita rubia de playa que me asistió de lujo .","5","29/04/2023 21:45:00",""
"La ambientación y atención de la gente, los productos muy buenos.
El café puede mejorar.","5","28/04/2023 9:10:00",""
"Por el personal limpieza y productos ","5","29/04/2023 12:12:00",""
"Atención ","5","29/04/2023 12:38:00",""
"La tengo como alternativa ya que soy fiel a otras shell de mi zona","5","29/04/2023 10:00:00",""
